            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454225.5, A.D. 2007-May-05 00:00:00.0000,1.51E+08,-1.42E+08,-6.69E+06,1.75E+01,1.97E+01,-1.66E-02,6.93E+02,2.08E+08,-7.48E-01
2454227.5, A.D. 2007-May-07 00:00:00.0000,1.54E+08,-1.39E+08,-6.69E+06,1.71E+01,2.01E+01,5.60E-04,6.92E+02,2.08E+08,-7.01E-01
2454229.5, A.D. 2007-May-09 00:00:00.0000,1.57E+08,-1.35E+08,-6.69E+06,1.67E+01,2.04E+01,1.77E-02,6.92E+02,2.07E+08,-6.53E-01
2454231.5, A.D. 2007-May-11 00:00:00.0000,1.60E+08,-1.32E+08,-6.69E+06,1.63E+01,2.08E+01,3.50E-02,6.92E+02,2.07E+08,-6.05E-01
2454233.5, A.D. 2007-May-13 00:00:00.0000,1.63E+08,-1.28E+08,-6.68E+06,1.59E+01,2.11E+01,5.22E-02,6.91E+02,2.07E+08,-5.57E-01
2454235.5, A.D. 2007-May-15 00:00:00.0000,1.66E+08,-1.24E+08,-6.67E+06,1.55E+01,2.14E+01,6.94E-02,6.91E+02,2.07E+08,-5.09E-01
2454237.5, A.D. 2007-May-17 00:00:00.0000,1.68E+08,-1.21E+08,-6.66E+06,1.50E+01,2.18E+01,8.66E-02,6.91E+02,2.07E+08,-4.60E-01
2454239.5, A.D. 2007-May-19 00:00:00.0000,1.71E+08,-1.17E+08,-6.64E+06,1.46E+01,2.21E+01,1.04E-01,6.90E+02,2.07E+08,-4.11E-01
2454241.5, A.D. 2007-May-21 00:00:00.0000,1.73E+08,-1.13E+08,-6.62E+06,1.42E+01,2.24E+01,1.21E-01,6.90E+02,2.07E+08,-3.62E-01
2454243.5, A.D. 2007-May-23 00:00:00.0000,1.76E+08,-1.09E+08,-6.60E+06,1.37E+01,2.27E+01,1.38E-01,6.90E+02,2.07E+08,-3.13E-01
2454245.5, A.D. 2007-May-25 00:00:00.0000,1.78E+08,-1.05E+08,-6.57E+06,1.32E+01,2.29E+01,1.55E-01,6.90E+02,2.07E+08,-2.63E-01
2454247.5, A.D. 2007-May-27 00:00:00.0000,1.80E+08,-1.01E+08,-6.54E+06,1.28E+01,2.32E+01,1.72E-01,6.90E+02,2.07E+08,-2.13E-01
